State,2018 Population,Deportation Cases,Rate
California,39776830,750292,1.8862538819709869
Texas,28704330,693340,2.4154543931176935
Florida,21312211,428456,2.0103779940992514
New York,19862512,417956,2.104245424747887
Pennsylvania,12823989,94256,0.7349975113047899
Illinois,12768320,107241,0.8398990626801334
Ohio,11694664,55777,0.4769440148088051
Georgia,10545138,188051,1.7832957709989192
North Carolina,10390149,76323,0.7345707939318291
Michigan,9991177,45058,0.45097789779922826
New Jersey,9032872,172496,1.9096473413992805
Virginia,8525660,126215,1.4804132465990902
Washington,7530552,104437,1.386843886079002
Arizona,7123898,126538,1.7762466559740187
Massachusetts,6895917,101934,1.4781790442083336
Tennessee,6782564,51695,0.7621748943319959
Indiana,6699629,30407,0.45386095259901704
Missouri,6135888,43012,0.7009906308589726
Maryland,6079602,108740,1.788603925059568
Wisconsin,5818049,12870,0.22120817476786464
Colorado,5684203,81547,1.4346250476979798
Minnesota,5628162,45799,0.8137470101251527
South Carolina,5088916,22864,0.44929018282086014
Alabama,4888949,24492,0.5009665676610658
Louisiana,4682509,122609,2.6184466490080425
Kentucky,4472265,22972,0.513654714110188
Oregon,4199563,21220,0.5052906695291867
Oklahoma,3940521,28414,0.7210721627926866
Connecticut,3588683,33592,0.9360536999227851
Iowa,3160553,16492,0.5218074178790864
Utah,3159345,25570,0.8093449749869039
Nevada,3056824,50473,1.6511581955650703
Arkansas,3020327,13824,0.4576987855950697
Mississippi,2982785,10294,0.3451137108440602
Kansas,2918515,20912,0.7165287826171871
New Mexico,2090708,31178,1.4912651599362512
Nebraska,1932549,32400,1.6765422248025792
West Virginia,1803077,1152,0.06389078225721918
Idaho,1753860,7844,0.44724208317653635
Hawaii,1426393,5359,0.375702909366493
New Hampshire,1350575,5763,0.4267071432537993
Maine,1341582,3410,0.25417753070628557
Montana,1062330,948,0.08923780746095845
Rhode Island,1061712,15551,1.4647098271470982
Delaware,971180,8239,0.8483494305895921
South Dakota,877790,3593,0.40932341448410214
North Dakota,755238,1268,0.1678940943119917
Alaska,738068,1317,0.17843884303343324
District of Columbia,703608,10871,1.5450364407454151
Vermont,623960,843,0.1351048144111802
Wyoming,573720,1348,0.23495781914522765
